"lon","lat","agg_id","income","pop","Y"
140.048884,35.41135,16,660.2,4724,499.78
140.062245,35.65662,5,395.7,4239,244.98
139.671684,35.715363,2,506.7,4782,6.14
139.998269,35.609386,5,505.9,1543,244.98
139.885047,35.839633,1,430.6,3847,115.05
139.811458,35.453994,18,380.2,4478,182.81
139.941953,35.890139,36,499.7,2984,174.9
139.5808,35.532483,35,578.7,5953,38.21
139.894195,35.442139,32,677.2,1247,367.73
139.923039,35.592954,40,270.9,3655,136.52
139.774645,35.462448,18,415.7,2769,182.81
139.931467,35.690777,33,462.6,2816,310.73
140.060803,35.520075,37,300.4,2492,179.13
139.653257,35.760944,2,409.9,5982,6.14
139.777376,35.472964,18,406.7,4681,182.81
140.064009,35.476419,16,413.3,4855,499.78
140.086936,35.529611,37,237.3,5504,179.13
139.570492,35.788943,12,525.6,4267,7.7
139.784998,35.613233,26,424.2,4398,139.72
139.8362,35.430024,32,682.5,5720,367.73
140.042419,35.457416,16,595.5,1474,499.78
139.583226,35.641378,13,325.6,5743,10.84
140.093335,35.889587,7,511.8,5754,252.6
140.068001,35.805758,7,428.7,1257,252.6
139.549463,35.671456,14,606.6,5188,7.68
139.808527,35.436184,18,506.4,4737,182.81
139.734122,35.633243,30,433.2,3860,16.55
140.043443,35.569953,37,552.6,2386,179.13
139.768182,35.744959,3,518.3,871,54.93
140.001603,35.657079,29,480.2,2481,133.64
139.942557,35.657462,40,742.4,1683,136.52
139.986633,35.672757,29,436.5,1938,133.64
139.732865,35.623729,30,443.5,3258,16.55
139.911102,35.441942,32,314.5,842,367.73
139.502369,35.865067,25,495.1,4839,18.55
139.99975,35.408224,24,606.8,4915,200.92
139.5044,35.607046,31,251.4,1419,42.83
139.624595,35.513488,35,470,1807,38.21
140.043961,35.44982,16,358.2,5997,499.78
139.867067,35.641462,26,673,5497,139.72
139.727736,35.725064,3,662.9,828,54.93
139.761463,35.860665,8,540.1,4564,65.05
139.522459,35.581301,31,671.5,2915,42.83
140.084124,35.827567,7,395.9,919,252.6
139.759051,35.550453,34,614.1,2868,103.76
140.074546,35.632831,5,429.8,1723,244.98
140.032653,35.471365,16,538.5,2118,499.78
139.883987,35.803859,23,464.1,5551,171.29
140.08258,35.732904,15,466.6,2749,121.6
139.871303,35.43097,32,565.5,2359,367.73
139.700056,35.615463,30,343.5,4810,16.55
139.708049,35.598428,30,469.9,874,16.55
139.739091,35.748478,3,520.5,1793,54.93
139.970816,35.72966,33,451.6,5996,310.73
139.523362,35.603675,31,512.6,897,42.83
139.949277,35.55346,17,461.7,4533,279.81
139.906366,35.527554,6,694.2,3594,161.67
139.602759,35.736284,2,585.7,2836,6.14
139.656653,35.847197,19,855.9,3396,17.18
139.808648,35.822868,1,404.6,5948,115.05
139.905364,35.596451,40,597.7,3373,136.52
140.08969,35.439525,16,751.8,5879,499.78
139.955727,35.814212,11,536.1,4689,154.59
139.839893,35.436446,32,370,4359,367.73
140.009814,35.457381,24,379.2,3373,200.92
139.613684,35.719992,2,495.8,1083,6.14
139.662772,35.560283,28,657.1,4862,43.34
139.996895,35.494375,17,590,2601,279.81
139.915923,35.596915,40,243.4,915,136.52
139.644327,35.831013,19,416,4038,17.18
139.525793,35.573956,31,498.9,1474,42.83
139.584287,35.400717,10,325,1735,21.9
139.629831,35.855642,19,583.3,4109,17.18
139.787639,35.875862,8,204.6,1677,65.05
139.618446,35.645459,22,517.2,2683,6.86
139.931614,35.631826,40,453.1,1949,136.52
139.504731,35.698236,14,441.1,5104,7.68
139.725294,35.853025,8,466,819,65.05
139.808645,35.486501,18,537.8,1619,182.81
139.500942,35.792941,12,547.6,5673,7.7
139.848962,35.516467,6,472.9,4780,161.67
139.594743,35.688524,9,269,5072,5.78
139.715417,35.820439,21,327.3,2109,16.65
139.887379,35.466102,32,323.6,1411,367.73
139.965494,35.847946,36,591.4,1491,174.9
139.838188,35.625069,26,470.8,2981,139.72
139.640222,35.847071,19,532.4,2703,17.18
139.553988,35.524273,35,312.9,1553,38.21
139.551367,35.441848,38,435.7,3503,92.81
139.683131,35.424321,39,567.5,4678,61.3
139.900456,35.889908,1,478.6,1371,115.05
139.500143,35.642084,14,486.2,2722,7.68
139.625142,35.822697,19,491.4,1957,17.18
140.05982,35.608147,5,645.3,5464,244.98
140.055387,35.644671,5,426.2,1353,244.98
139.940457,35.491644,17,581.1,5163,279.81
139.699843,35.779581,21,607.8,5196,16.65
139.809038,35.552572,4,357.3,940,108.72
139.946385,35.482839,17,514.6,4780,279.81
139.871496,35.416405,32,498.7,2229,367.73
139.875747,35.468253,32,623.5,1585,367.73
139.630295,35.488568,39,609.8,1313,61.3
139.62994,35.65978,22,499.7,4499,6.86
139.733367,35.80556,21,516.3,3172,16.65
140.065473,35.457681,16,413.6,2876,499.78
140.077565,35.846711,7,476.2,4003,252.6
139.943913,35.687676,33,376.5,1490,310.73
139.939948,35.473286,17,384,1219,279.81
139.821457,35.851403,1,353.5,4249,115.05
139.501364,35.526501,31,600.3,4926,42.83
139.865362,35.475299,32,633.8,2742,367.73
140.002081,35.784274,11,450.4,4954,154.59
139.950914,35.515062,17,364.5,5015,279.81
139.771639,35.5527,34,489.4,5296,103.76
139.821474,35.659285,26,769,2998,139.72
139.822426,35.5673,4,745,1299,108.72
139.500829,35.477217,38,293.6,5389,92.81
139.7134,35.533185,27,457.2,2301,54.56
139.86728,35.575377,4,684,2387,108.72
139.997365,35.689229,29,495.4,5044,133.64
139.714033,35.804301,21,691.7,3852,16.65
139.746381,35.866635,8,460,4246,65.05
139.844086,35.816932,1,572.6,4151,115.05
139.853807,35.463501,32,526.9,1987,367.73
139.931794,35.724727,33,887.5,3972,310.73
139.736984,35.745176,3,610.5,3329,54.93
140.051522,35.416022,16,355.2,3816,499.78
140.077542,35.860245,7,427.5,5026,252.6
139.640114,35.639234,22,544.4,3373,6.86
139.934699,35.53326,17,271.9,1227,279.81
140.042181,35.828255,7,283.5,3212,252.6
139.862084,35.514573,6,365.4,3912,161.67
139.878904,35.795973,23,458.2,5552,171.29
140.062432,35.723387,15,648.7,1050,121.6
140.01029,35.612167,5,467.1,5054,244.98
139.847893,35.447534,32,519.5,1256,367.73
139.992842,35.401734,24,492.2,2209,200.92
139.568231,35.665567,9,415.4,5207,5.78
