"px_epsg28992","py_epsg28992","lon","lat","dist","ffreq2","ffreq3"
181180,333740,5.76008379942752,50.9927167494721,0,0,0
181140,333700,5.75951118495381,50.9923590365818,0,0,0
181180,333700,5.76008089329635,50.992357203926,0.0122243,0,0
181220,333700,5.76065060158647,50.9923553684693,0.0434678,0,0
181100,333660,5.758938579356,50.9920013208536,0,0,0
181140,333660,5.75950828331296,50.9919994910175,0.0122243,0,0
181180,333660,5.76007798721759,50.9919976583804,0.0373395,0,0
181220,333660,5.7606476910698,50.9919958229425,0.0593662,0,0
181060,333620,5.75836598263394,50.9916436022876,0.00135803,0,0
181100,333620,5.75893568220532,50.991641775271,0.0122243,0,0
181140,333620,5.75950538172444,50.9916399454536,0.0373395,0,0
181180,333620,5.76007508119124,50.9916381128354,0.0593662,0,0
181220,333620,5.76064478060562,50.9916362774163,0.0812247,0,0
181260,333620,5.76121447996752,50.9916344391964,0.101178,0,0
181020,333580,5.75779339478747,50.9912858808839,0,0,0
181060,333580,5.75836308997326,50.9912840566868,0.0122243,0,0
181100,333580,5.75893278510688,50.9912822296889,0.0484855,0,0
181140,333580,5.75950248018826,50.9912803998903,0.0593662,0,0
181180,333580,5.7600721752173,50.9912785672908,0.0812247,0,0
181220,333580,5.76064187019394,50.9912767318905,0.103029,0,0
181260,333580,5.76121156511809,50.9912748936895,0.12481,0,0
181300,333580,5.76178125998966,50.9912730526876,0.152165,0,0
180980,333540,5.75722081581644,50.9909281566425,0,0,0
181020,333540,5.75779050661664,50.990926335265,0.0122243,0,0
181060,333540,5.75836019736475,50.9909245110866,0.0373395,0,0
181100,333540,5.7589298880607,50.9909226841074,0.0593662,0,0
181140,333540,5.7594995787044,50.9909208543275,0.0921488,0,0
181180,333540,5.76006926929577,50.9909190217468,0.103029,0,0
181220,333540,5.76063895983473,50.9909171863653,0.12481,0,0
181260,333540,5.76120865032121,50.9909153481831,0.146578,0,0
181300,333540,5.76177834075513,50.9909135072001,0.166504,0,0
180940,333500,5.75664824572067,50.9905704295637,0,0,0
180980,333500,5.75721793213528,50.9905686110055,0.0122243,0,0
181020,333500,5.75778761849789,50.9905667896465,0.0373395,0,0
181060,333500,5.7583573048084,50.9905649654869,0.0593662,0,0
181100,333500,5.75892699106676,50.9905631385264,0.0812247,0,0
181140,333500,5.75949667727286,50.9905613087652,0.103029,0,0
181180,333500,5.76006636342665,50.9905594762033,0.135698,0,0
181220,333500,5.76063604952802,50.9905576408407,0.146578,0,0
181260,333500,5.76120573557691,50.9905558026773,0.168339,0,0
181300,333500,5.76177542157324,50.9905539617131,0.190094,0,0
181340,333500,5.76234510751692,50.9905521179482,0.206375,0,0
180940,333460,5.75664536652904,50.9902108839085,0.00135803,0,0
180980,333460,5.75721504850613,50.990209065369,0.0316663,0,0
181020,333460,5.75778473043122,50.9902072440287,0.0593636,0,0
181060,333460,5.75835441230423,50.9902054198877,0.0812247,0,0
181100,333460,5.75892409412506,50.990203592946,0.103029,0,0
181140,333460,5.75949377589366,50.9902017632036,0.12481,0,0
181180,333460,5.76006345760993,50.9901999306604,0.146578,0,0
181220,333460,5.76063313927379,50.9901980953166,0.179213,0,0
181260,333460,5.76120282088517,50.990196257172,0.190094,0,0
181300,333460,5.761772502444,50.9901944162268,0.211846,0,0
181340,333460,5.76234218395017,50.9901925724808,0.233596,0,0
180900,333420,5.75607280979776,50.9898531539742,0,0,0
180940,333420,5.75664248738934,50.9898513382539,0.0122243,0,0
180980,333420,5.75721216492899,50.989849519733,0.0484884,0,0
181020,333420,5.75778184241664,50.9898476984114,0.0756869,0,0
181060,333420,5.75835151985221,50.9898458742891,0.103027,0,0
181100,333420,5.75892119723561,50.9898440473661,0.12481,0,0
181140,333420,5.75949087456677,50.9898422176424,0.146578,0,0
181180,333420,5.76006055184561,50.9898403851181,0.168339,0,0
181220,333420,5.76063022907205,50.989838549793,0.190094,0,0
181260,333420,5.761199906246,50.9898367116673,0.222715,0,0
181300,333420,5.76176958336739,50.9898348707409,0.233596,0,0
181340,333420,5.76233926043614,50.9898330270138,0.255343,0,0
181380,333420,5.76290893745217,50.989831180486,0.275265,0,0
180860,333380,5.75550026194128,50.9894954212025,0,0,0
180900,333380,5.75606993514734,50.9894936083015,0.0054321,0,0
180940,333380,5.75663960830156,50.9894917925999,0.0373369,0,0
180980,333380,5.75720928140385,50.9894899740976,0.0593662,0,0
181020,333380,5.75777895445414,50.9894881527947,0.0921516,0,0
181060,333380,5.75834862745235,50.989486328691,0.119308,0,0
181100,333380,5.7589183003984,50.9894845017868,0.146576,0,0
181140,333380,5.75948797329221,50.9894826720818,0.168339,0,0
181180,333380,5.7600576461337,50.9894808395763,0.190094,0,0
181220,333380,5.76062731892279,50.98947900427,0.211846,0,0
