"station","lon","lat","year","month","time","pm10"
"DESH001",9.58591,53.67057,2001,1,1,32.05
"DESH001",9.58591,53.67057,2001,2,2,21.15
"DESH001",9.58591,53.67057,2001,3,3,27.42
"DESH001",9.58591,53.67057,2001,4,4,18.85
"DESH001",9.58591,53.67057,2001,5,5,20.82
"DESH001",9.58591,53.67057,2001,6,6,19.63
"DESH001",9.58591,53.67057,2001,7,7,27.28
"DESH001",9.58591,53.67057,2001,8,8,28.86
"DESH001",9.58591,53.67057,2001,9,9,15.75
"DESH001",9.58591,53.67057,2001,10,10,32.73
"DESH001",9.58591,53.67057,2001,11,11,16.22
"DESH001",9.58591,53.67057,2001,12,12,17.2
"DESH001",9.58591,53.67057,2002,1,13,24.56
"DESH001",9.58591,53.67057,2002,2,14,15.72
"DESH001",9.58591,53.67057,2002,3,15,27.62
"DESH001",9.58591,53.67057,2002,4,16,31.3
"DESH001",9.58591,53.67057,2002,5,17,19.57
"DESH001",9.58591,53.67057,2002,6,18,18.98
"DESH001",9.58591,53.67057,2002,7,19,22.65
"DESH001",9.58591,53.67057,2002,8,20,33.21
"DESH001",9.58591,53.67057,2002,9,21,17.97
"DESH001",9.58591,53.67057,2002,10,22,15.75
"DESH001",9.58591,53.67057,2002,11,23,19.99
"DESH001",9.58591,53.67057,2002,12,24,30.16
"DESH001",9.58591,53.67057,2003,1,25,23.23
"DESH001",9.58591,53.67057,2003,2,26,42.15
"DESH001",9.58591,53.67057,2003,3,27,48.51
"DESH001",9.58591,53.67057,2003,4,28,32.97
"DESH001",9.58591,53.67057,2003,5,29,16.19
"DESH001",9.58591,53.67057,2003,6,30,21.81
"DESH001",9.58591,53.67057,2003,7,31,21.59
"DESH001",9.58591,53.67057,2003,8,32,25.12
"DESH001",9.58591,53.67057,2003,9,33,22.71
"DESH001",9.58591,53.67057,2003,10,34,17.36
"DESH001",9.58591,53.67057,2003,11,35,24.02
"DESH001",9.58591,53.67057,2003,12,36,22.38
"DESH001",9.58591,53.67057,2004,1,37,23.4
"DESH001",9.58591,53.67057,2004,2,38,21.93
"DESH001",9.58591,53.67057,2004,3,39,26.06
"DESH001",9.58591,53.67057,2004,4,40,27.17
"DESH001",9.58591,53.67057,2004,5,41,20.71
"DESH001",9.58591,53.67057,2004,6,42,20.33
"DESH001",9.58591,53.67057,2004,7,43,18.95
"DESH001",9.58591,53.67057,2004,8,44,20.28
"DESH001",9.58591,53.67057,2004,9,45,16.64
"DESH001",9.58591,53.67057,2004,11,47,16.49
"DESH001",9.58591,53.67057,2004,12,48,21.31
"DESH001",9.58591,53.67057,2005,1,49,16.84
"DESH001",9.58591,53.67057,2005,2,50,24.97
"DESH001",9.58591,53.67057,2005,3,51,24.15
"DESH001",9.58591,53.67057,2005,4,52,21.74
"DESH001",9.58591,53.67057,2005,5,53,19.46
"DESH001",9.58591,53.67057,2005,6,54,18.56
"DESH001",9.58591,53.67057,2005,7,55,19.04
"DESH001",9.58591,53.67057,2005,8,56,20.56
"DESH001",9.58591,53.67057,2005,9,57,23.36
"DESH001",9.58591,53.67057,2005,10,58,26.17
"DESH001",9.58591,53.67057,2005,11,59,17.54
"DESH001",9.58591,53.67057,2005,12,60,18.68
"DENI063",9.68503,53.52418,2001,1,1,40
"DENI063",9.68503,53.52418,2001,2,2,27.99
"DENI063",9.68503,53.52418,2001,3,3,39.99
"DENI063",9.68503,53.52418,2001,4,4,26.93
"DENI063",9.68503,53.52418,2001,5,5,31.97
"DENI063",9.68503,53.52418,2001,6,6,27.1
"DENI063",9.68503,53.52418,2001,7,7,36.19
"DENI063",9.68503,53.52418,2001,8,8,40.68
"DENI063",9.68503,53.52418,2001,9,9,20.9
"DENI063",9.68503,53.52418,2001,10,10,36.01
"DENI063",9.68503,53.52418,2001,11,11,17.72
"DENI063",9.68503,53.52418,2001,12,12,22.01
"DENI063",9.68503,53.52418,2002,1,13,25.93
"DENI063",9.68503,53.52418,2002,2,14,16.51
"DENI063",9.68503,53.52418,2002,3,15,20.82
"DENI063",9.68503,53.52418,2002,4,16,41.36
"DENI063",9.68503,53.52418,2002,5,17,26.55
"DENI063",9.68503,53.52418,2002,6,18,21.88
"DENI063",9.68503,53.52418,2002,7,19,21.11
"DENI063",9.68503,53.52418,2002,8,20,41.12
"DENI063",9.68503,53.52418,2002,9,21,22.23
"DENI063",9.68503,53.52418,2002,10,22,14.9
"DENI063",9.68503,53.52418,2002,11,23,20.71
"DENI063",9.68503,53.52418,2002,12,24,35.22
"DENI063",9.68503,53.52418,2003,1,25,26.02
"DENI063",9.68503,53.52418,2003,2,26,52.05
"DENI063",9.68503,53.52418,2003,3,27,60.17
"DENI063",9.68503,53.52418,2003,4,28,33.91
"DENI063",9.68503,53.52418,2003,5,29,18.83
"DENI063",9.68503,53.52418,2003,6,30,29.47
"DENI063",9.68503,53.52418,2003,7,31,24.32
"DENI063",9.68503,53.52418,2003,8,32,29.66
"DENI063",9.68503,53.52418,2003,9,33,24.57
"DENI063",9.68503,53.52418,2003,10,34,21.05
"DENI063",9.68503,53.52418,2003,11,35,30.39
"DENI063",9.68503,53.52418,2003,12,36,26.26
"DENI063",9.68503,53.52418,2004,1,37,27.47
"DENI063",9.68503,53.52418,2004,2,38,27.23
"DENI063",9.68503,53.52418,2004,3,39,32.92
"DENI063",9.68503,53.52418,2004,4,40,31.76
"DENI063",9.68503,53.52418,2004,5,41,26.23
"DENI063",9.68503,53.52418,2004,6,42,20.79
"DENI063",9.68503,53.52418,2004,7,43,19.39
